account_id,customer_id,account_type,opening_date,status
A0000043,C000606,SAVINGS,2021-05-29,ACTIVE
A0000044,C000301,DEPOSIT,2020-05-18,ACTIVE
A0000045,C000672,CURRENT,2021-11-21,ACTIVE
A0000046,C000126,CURRENT,2022-01-14,ACTIVE
A0000047,C000201,SAVINGS,2023-05-14,ACTIVE
A0000048,C000629,SAVINGS,2022-10-10,ACTIVE
A0000049,C000786,CURRENT,2024-05-09,ACTIVE
A0000050,C000422,CURRENT,2025-07-17,ACTIVE
A0000051,C000149,SAVINGS,2024-01-24,ACTIVE
A0000052,C000141,SAVINGS,2021-03-11,ACTIVE
A0000053,C000041,CURRENT,2024-01-24,ACTIVE
A0000054,C000578,DEPOSIT,2026-06-22,CLOSED
A0000055,C000536,DEPOSIT,2026-04-10,ACTIVE
A0000056,C000885,SAVINGS,2024-02-23,ACTIVE
A0000057,C000354,DEPOSIT,2024-12-04,ACTIVE
A0000058,C000705,CURRENT,2022-03-18,ACTIVE
A0000059,C000884,CURRENT,2024-02-17,ACTIVE
A0000060,C000344,CURRENT,2022-08-20,ACTIVE
A0000061,C000214,CURRENT,2023-09-12,ACTIVE
A0000062,C000988,CURRENT,2021-05-03,ACTIVE
A0000063,C000382,DEPOSIT,2023-11-22,ACTIVE
A0000064,C000202,SAVINGS,2023-10-05,ACTIVE
A0000065,C000965,CURRENT,2024-08-22,ACTIVE
A0000066,C000786,CURRENT,2023-09-08,ACTIVE
A0000067,C000228,DEPOSIT,2023-06-17,ACTIVE
A0000068,C000449,SAVINGS,2023-12-22,ACTIVE
A0000069,C000288,SAVINGS,2022-11-05,ACTIVE
A0000070,C000545,DEPOSIT,2026-01-01,ACTIVE
A0000071,C000537,SAVINGS,2020-12-13,ACTIVE
A0000072,C000056,CURRENT,2024-04-21,ACTIVE
A0000073,C000124,DEPOSIT,2024-04-30,ACTIVE
A0000074,C000779,SAVINGS,2025-09-15,ACTIVE
A0000075,C000101,CURRENT,2023-06-10,ACTIVE
A0000076,C000143,DEPOSIT,2026-06-30,ACTIVE
A0000077,C000502,SAVINGS,2023-12-10,ACTIVE
A0000078,C000499,SAVINGS,2024-03-26,ACTIVE
A0000079,C000510,CURRENT,2024-01-25,CLOSED
A0000080,C000191,SAVINGS,2026-01-02,ACTIVE
A0000081,C000057,SAVINGS,2020-06-26,ACTIVE
A0000082,C000646,CURRENT,2020-04-08,ACTIVE
A0000083,C000966,DEPOSIT,2020-11-29,CLOSED
A0000084,C000291,SAVINGS,2023-11-27,ACTIVE
A0000085,C000363,DEPOSIT,2022-09-19,ACTIVE
A0000086,C000767,DEPOSIT,2025-08-18,ACTIVE
A0000087,C000260,SAVINGS,2020-05-16,ACTIVE
A0000088,C000490,SAVINGS,2022-05-26,ACTIVE
A0000089,C000760,SAVINGS,2023-06-17,ACTIVE
A0000090,C000787,CURRENT,2023-10-07,ACTIVE
A0000091,C000233,SAVINGS,2026-05-28,ACTIVE
A0000092,C000513,DEPOSIT,2024-05-20,ACTIVE
A0000093,C000183,DEPOSIT,2025-12-22,ACTIVE
A0000094,C000114,DEPOSIT,2026-02-16,ACTIVE
A0000095,C000194,CURRENT,2020-11-14,ACTIVE
A0000096,C000153,SAVINGS,2022-10-23,ACTIVE
A0000097,C000439,SAVINGS,2023-07-16,ACTIVE
A0000098,C000384,DEPOSIT,2021-11-06,ACTIVE
A0000099,C000912,CURRENT,2023-12-04,CLOSED
A0000100,C000946,CURRENT,2023-08-12,CLOSED
A0000101,C000961,SAVINGS,2022-06-14,ACTIVE
A0000102,C000833,DEPOSIT,2024-01-22,ACTIVE
A0000103,C000961,CURRENT,2022-04-29,ACTIVE
A0000104,C000790,DEPOSIT,2023-07-21,ACTIVE
A0000105,C000056,DEPOSIT,2020-10-22,ACTIVE
A0000106,C000205,SAVINGS,2023-09-04,ACTIVE
A0000107,C000251,CURRENT,2024-12-03,ACTIVE
A0000108,C000733,CURRENT,2022-07-07,ACTIVE
A0000109,C000999,CURRENT,2025-05-28,ACTIVE
A0000110,C000218,CURRENT,2024-02-19,ACTIVE
A0000111,C000827,DEPOSIT,2020-11-27,ACTIVE
A0000112,C000594,CURRENT,2024-07-31,ACTIVE
A0000113,C000470,SAVINGS,2025-01-16,ACTIVE
A0000114,C000895,SAVINGS,2020-12-17,CLOSED
A0000115,C000801,CURRENT,2021-01-25,ACTIVE
A0000116,C000409,DEPOSIT,2021-06-01,ACTIVE
A0000117,C000530,SAVINGS,2022-08-31,CLOSED
A0000118,C000822,DEPOSIT,2020-08-28,ACTIVE
A0000119,C000799,CURRENT,2021-12-31,ACTIVE
A0000120,C000933,DEPOSIT,2026-02-08,ACTIVE
A0000121,C000823,DEPOSIT,2022-01-25,ACTIVE
A0000122,C000547,DEPOSIT,2022-02-22,ACTIVE
A0000123,C000135,CURRENT,2021-02-17,ACTIVE
A0000124,C000400,DEPOSIT,2025-03-27,ACTIVE
A0000125,C000080,SAVINGS,2023-05-28,ACTIVE
A0000126,C000058,CURRENT,2020-03-28,ACTIVE
A0000127,C000089,CURRENT,2022-07-15,ACTIVE
A0000128,C000195,SAVINGS,2025-06-21,ACTIVE
A0000129,C000175,CURRENT,2023-09-26,ACTIVE
A0000130,C000218,SAVINGS,2021-09-19,ACTIVE
A0000131,C000003,SAVINGS,2023-08-31,CLOSED
A0000132,C000105,CURRENT,2021-01-09,ACTIVE
A0000133,C000288,SAVINGS,2020-11-13,ACTIVE
A0000134,C000260,SAVINGS,2025-07-06,ACTIVE
A0000135,C000068,SAVINGS,2020-02-24,ACTIVE
A0000136,C000737,DEPOSIT,2026-01-11,ACTIVE
A0000137,C000150,SAVINGS,2023-11-26,ACTIVE
A0000138,C000107,DEPOSIT,2022-12-30,ACTIVE
A0000139,C000128,CURRENT,2023-06-29,ACTIVE
A0000140,C000134,SAVINGS,2025-01-22,ACTIVE
A0000141,C000166,CURRENT,2025-08-03,ACTIVE
A0000142,C000976,DEPOSIT,2021-07-08,ACTIVE
A0000143,C000392,SAVINGS,2023-01-22,ACTIVE
A0000144,C000659,SAVINGS,2026-01-07,ACTIVE
A0000145,C000162,SAVINGS,2022-10-26,ACTIVE
A0000146,C000764,CURRENT,2021-04-12,CLOSED
A0000147,C000216,CURRENT,2022-06-03,ACTIVE
A0000148,C000754,CURRENT,2026-03-26,ACTIVE
A0000149,C000530,CURRENT,2025-01-28,ACTIVE
A0000150,C000492,SAVINGS,2020-05-19,ACTIVE
A0000151,C000571,SAVINGS,2020-05-03,ACTIVE
A0000152,C000131,SAVINGS,2020-06-12,ACTIVE
A0000153,C000687,DEPOSIT,2021-06-06,ACTIVE
A0000154,C000089,CURRENT,2021-05-19,ACTIVE
A0000155,C000755,SAVINGS,2021-09-24,CLOSED
A0000156,C000450,DEPOSIT,2026-01-30,CLOSED
A0000157,C000557,DEPOSIT,2020-09-01,ACTIVE
A0000158,C000680,SAVINGS,2020-03-24,ACTIVE
A0000159,C000761,CURRENT,2024-07-20,CLOSED
A0000160,C000238,DEPOSIT,2026-05-02,ACTIVE
A0000161,C000677,SAVINGS,2026-04-03,ACTIVE
A0000162,C000927,DEPOSIT,2025-01-18,ACTIVE
A0000163,C000720,DEPOSIT,2021-08-20,ACTIVE
A0000164,C000129,SAVINGS,2022-05-26,ACTIVE
A0000165,C000042,CURRENT,2025-03-20,ACTIVE
A0000166,C000092,SAVINGS,2021-04-28,ACTIVE
A0000167,C000478,SAVINGS,2026-05-02,ACTIVE
A0000168,C000027,DEPOSIT,2026-02-16,ACTIVE
A0000169,C000747,DEPOSIT,2023-04-02,ACTIVE
A0000170,C000216,SAVINGS,2023-08-05,ACTIVE
A0000171,C000525,SAVINGS,2023-02-14,ACTIVE
A0000172,C000090,DEPOSIT,2020-11-16,ACTIVE
A0000173,C000175,SAVINGS,2020-01-26,ACTIVE
A0000174,C000161,CURRENT,2020-07-01,ACTIVE
A0000175,C000513,DEPOSIT,2024-10-07,ACTIVE
A0000176,C000890,SAVINGS,2020-05-04,ACTIVE
A0000177,C000281,DEPOSIT,2022-05-30,ACTIVE
A0000178,C000133,SAVINGS,2024-07-18,ACTIVE
A0000179,C000467,CURRENT,2025-11-19,ACTIVE
A0000180,C000187,CURRENT,2020-04-07,ACTIVE
A0000181,C000400,SAVINGS,2026-02-28,ACTIVE
A0000182,C000750,SAVINGS,2026-04-10,ACTIVE
A0000183,C000270,CURRENT,2024-10-06,ACTIVE
A0000184,C000364,DEPOSIT,2025-10-26,ACTIVE
A0000185,C000378,SAVINGS,2025-08-31,ACTIVE
A0000186,C000175,SAVINGS,2021-06-16,ACTIVE
A0000187,C000275,DEPOSIT,2022-04-11,ACTIVE
A0000188,C000717,DEPOSIT,2026-04-26,ACTIVE
A0000189,C000725,CURRENT,2020-12-03,ACTIVE
A0000190,C000232,DEPOSIT,2020-12-01,ACTIVE
A0000191,C000047,SAVINGS,2023-03-06,ACTIVE
A0000192,C000495,SAVINGS,2025-06-05,ACTIVE
A0000193,C000248,SAVINGS,2022-05-22,CLOSED
A0000194,C000933,CURRENT,2021-11-28,ACTIVE
A0000195,C000569,CURRENT,2025-12-11,CLOSED
A0000196,C000238,CURRENT,2025-02-24,ACTIVE
A0000197,C000483,DEPOSIT,2025-10-03,ACTIVE
A0000198,C000346,CURRENT,2020-04-21,ACTIVE
A0000199,C000371,SAVINGS,2025-04-02,ACTIVE
A0000200,C000828,DEPOSIT,2023-01-23,ACTIVE
A0000201,C000036,CURRENT,2024-06-24,ACTIVE
A0000202,C000135,CURRENT,2026-04-20,ACTIVE
A0000203,C000378,CURRENT,2025-06-30,ACTIVE
A0000204,C000179,CURRENT,2020-02-02,ACTIVE
A0000205,C000426,SAVINGS,2023-10-28,ACTIVE
A0000206,C000931,CURRENT,2023-10-23,ACTIVE
A0000207,C000878,SAVINGS,2020-08-02,ACTIVE
A0000208,C000293,CURRENT,2022-01-07,ACTIVE
A0000209,C000005,SAVINGS,2024-06-30,ACTIVE
A0000210,C000123,DEPOSIT,2021-10-03,CLOSED
A0000211,C000154,DEPOSIT,2021-02-02,ACTIVE
A0000212,C000209,DEPOSIT,2022-07-06,ACTIVE
A0000213,C000478,CURRENT,2024-09-14,ACTIVE
A0000214,C000617,DEPOSIT,2021-01-19,CLOSED
A0000215,C000341,SAVINGS,2023-08-07,ACTIVE
A0000216,C000804,DEPOSIT,2022-10-25,CLOSED
A0000217,C000825,SAVINGS,2024-04-30,ACTIVE
A0000218,C000403,SAVINGS,2025-09-19,ACTIVE
A0000219,C000977,DEPOSIT,2023-06-26,CLOSED
A0000220,C000143,CURRENT,2025-10-11,ACTIVE
A0000221,C000457,SAVINGS,2024-01-06,ACTIVE
A0000222,C000514,DEPOSIT,2025-04-09,CLOSED
A0000223,C000929,CURRENT,2020-11-14,ACTIVE
A0000224,C000290,DEPOSIT,2023-04-07,CLOSED
A0000225,C000531,SAVINGS,2021-02-27,ACTIVE
A0000226,C000510,CURRENT,2026-04-11,ACTIVE
A0000227,C000204,CURRENT,2021-06-08,ACTIVE
A0000228,C000852,DEPOSIT,2022-11-19,ACTIVE
A0000229,C000626,CURRENT,2023-02-16,ACTIVE
A0000230,C000234,DEPOSIT,2022-06-04,ACTIVE
A0000231,C000142,CURRENT,2022-07-20,ACTIVE
A0000232,C000105,DEPOSIT,2021-11-24,ACTIVE
A0000233,C000076,CURRENT,2022-12-25,ACTIVE
A0000234,C000798,CURRENT,2022-09-12,ACTIVE
A0000235,C000817,DEPOSIT,2025-07-12,ACTIVE
A0000236,C000798,SAVINGS,2026-05-15,ACTIVE
A0000237,C000944,SAVINGS,2025-07-06,CLOSED
A0000238,C000175,DEPOSIT,2024-07-01,ACTIVE
A0000239,C000993,DEPOSIT,2023-02-11,CLOSED
A0000240,C000792,CURRENT,2022-12-12,ACTIVE
A0000241,C000311,CURRENT,2020-10-12,ACTIVE
A0000242,C000168,CURRENT,2024-06-14,CLOSED
A0000243,C000357,DEPOSIT,2025-11-13,ACTIVE
A0000244,C000773,SAVINGS,2021-07-01,ACTIVE
A0000245,C000927,SAVINGS,2020-06-06,ACTIVE
A0000246,C000994,SAVINGS,2025-09-02,CLOSED
A0000247,C000489,SAVINGS,2021-06-12,ACTIVE
A0000248,C000103,SAVINGS,2020-09-12,CLOSED
A0000249,C000773,DEPOSIT,2026-05-13,ACTIVE
A0000250,C000541,CURRENT,2022-01-16,ACTIVE
A0000251,C000943,DEPOSIT,2023-03-25,ACTIVE
A0000252,C000492,CURRENT,2024-10-10,ACTIVE
A0000253,C000548,SAVINGS,2022-09-09,ACTIVE
A0000254,C000343,SAVINGS,2024-01-18,CLOSED
A0000255,C000576,DEPOSIT,2024-02-16,ACTIVE
A0000256,C000400,SAVINGS,2025-06-04,ACTIVE
A0000257,C000805,SAVINGS,2021-09-14,ACTIVE
A0000258,C000516,SAVINGS,2025-02-25,ACTIVE
A0000259,C000034,DEPOSIT,2025-10-27,ACTIVE
A0000260,C000672,CURRENT,2026-04-17,ACTIVE
A0000261,C000373,DEPOSIT,2026-02-14,ACTIVE
A0000262,C000017,SAVINGS,2020-07-28,ACTIVE
A0000263,C000756,CURRENT,2021-06-21,ACTIVE
A0000264,C000543,DEPOSIT,2022-04-25,ACTIVE
A0000265,C000741,CURRENT,2024-03-16,CLOSED
A0000266,C000004,SAVINGS,2026-02-15,ACTIVE
A0000267,C000808,SAVINGS,2025-09-11,ACTIVE
A0000268,C000076,CURRENT,2024-03-11,ACTIVE
A0000269,C000092,SAVINGS,2022-03-08,ACTIVE
A0000270,C000820,CURRENT,2021-07-08,ACTIVE
A0000271,C000900,CURRENT,2022-02-14,CLOSED
A0000272,C000519,SAVINGS,2022-11-29,CLOSED
A0000273,C000954,CURRENT,2023-02-22,ACTIVE
A0000274,C000303,SAVINGS,2021-05-13,ACTIVE
A0000275,C000341,DEPOSIT,2024-01-19,ACTIVE
A0000276,C000936,CURRENT,2024-11-21,CLOSED
A0000277,C000698,CURRENT,2025-03-25,ACTIVE
A0000278,C000564,CURRENT,2026-03-04,ACTIVE
A0000279,C000133,SAVINGS,2023-01-24,ACTIVE
A0000280,C000403,CURRENT,2022-06-13,ACTIVE
A0000281,C000728,CURRENT,2025-10-21,CLOSED
A0000282,C000868,SAVINGS,2023-07-16,ACTIVE
A0000283,C000945,SAVINGS,2020-09-13,ACTIVE
A0000284,C000559,DEPOSIT,2020-01-07,ACTIVE
A0000285,C000831,CURRENT,2021-08-01,ACTIVE
A0000286,C000622,SAVINGS,2026-03-07,ACTIVE
A0000287,C000338,SAVINGS,2026-06-20,ACTIVE
A0000288,C000982,SAVINGS,2020-10-28,ACTIVE
A0000289,C000676,DEPOSIT,2024-05-30,ACTIVE
A0000290,C000579,DEPOSIT,2024-04-28,ACTIVE
A0000291,C000933,DEPOSIT,2025-10-12,ACTIVE
A0000292,C000578,DEPOSIT,2025-12-26,ACTIVE
A0000293,C000372,CURRENT,2023-11-20,CLOSED
A0000294,C000531,DEPOSIT,2024-08-08,ACTIVE
A0000295,C000436,SAVINGS,2025-07-26,ACTIVE
A0000296,C000933,CURRENT,2026-03-14,CLOSED
A0000297,C000346,CURRENT,2022-05-18,ACTIVE
A0000298,C000064,SAVINGS,2025-10-11,ACTIVE
A0000299,C000906,CURRENT,2022-10-15,ACTIVE
A0000300,C000646,SAVINGS,2022-10-30,ACTIVE
A0000301,C000829,SAVINGS,2024-08-24,ACTIVE
A0000302,C000501,SAVINGS,2023-04-12,ACTIVE
A0000303,C000385,DEPOSIT,2021-06-11,ACTIVE
A0000304,C000903,CURRENT,2024-07-28,ACTIVE
A0000305,C000335,CURRENT,2022-05-23,CLOSED
A0000306,C000246,SAVINGS,2024-04-27,CLOSED
A0000307,C000274,SAVINGS,2022-04-22,ACTIVE
A0000308,C000140,DEPOSIT,2023-08-29,ACTIVE
A0000309,C000676,DEPOSIT,2024-06-16,ACTIVE
A0000310,C000467,SAVINGS,2021-09-08,ACTIVE
A0000311,C000536,CURRENT,2022-10-10,ACTIVE
A0000312,C000890,CURRENT,2021-07-19,CLOSED
A0000313,C000557,CURRENT,2021-05-12,ACTIVE
A0000314,C000098,DEPOSIT,2020-02-05,ACTIVE
A0000315,C000281,DEPOSIT,2021-06-25,ACTIVE
A0000316,C000385,SAVINGS,2025-06-25,ACTIVE
A0000317,C000942,CURRENT,2023-08-07,ACTIVE
A0000318,C000079,DEPOSIT,2020-09-05,ACTIVE
A0000319,C000645,DEPOSIT,2023-11-04,ACTIVE
A0000320,C000236,CURRENT,2020-06-07,ACTIVE
A0000321,C000040,SAVINGS,2024-04-23,ACTIVE
A0000322,C000289,SAVINGS,2021-09-13,ACTIVE
A0000323,C000854,DEPOSIT,2022-02-12,CLOSED
A0000324,C000947,SAVINGS,2020-05-17,ACTIVE
A0000325,C000133,SAVINGS,2022-05-12,CLOSED
A0000326,C000981,SAVINGS,2023-07-22,ACTIVE
A0000327,C000321,DEPOSIT,2021-02-04,ACTIVE
A0000328,C000651,SAVINGS,2024-05-19,ACTIVE
A0000329,C000548,SAVINGS,2022-03-13,ACTIVE
A0000330,C000854,CURRENT,2023-01-27,ACTIVE
A0000331,C000904,SAVINGS,2022-02-26,ACTIVE
A0000332,C000299,CURRENT,2024-06-28,ACTIVE
A0000333,C000311,CURRENT,2024-04-22,ACTIVE
A0000334,C000984,DEPOSIT,2026-02-26,ACTIVE
A0000335,C000441,SAVINGS,2023-05-12,ACTIVE
A0000336,C000108,CURRENT,2025-02-21,ACTIVE
A0000337,C000433,SAVINGS,2023-10-24,ACTIVE
A0000338,C000192,DEPOSIT,2025-07-22,ACTIVE
A0000339,C000180,SAVINGS,2024-01-08,ACTIVE
A0000340,C000776,CURRENT,2021-09-03,ACTIVE
A0000341,C000953,DEPOSIT,2026-05-29,CLOSED
A0000342,C000595,CURRENT,2026-04-22,ACTIVE
A0000343,C000786,DEPOSIT,2024-11-27,ACTIVE
A0000344,C000522,SAVINGS,2020-01-16,ACTIVE
A0000345,C000896,SAVINGS,2021-10-19,ACTIVE
A0000346,C000227,DEPOSIT,2021-01-07,CLOSED
A0000347,C000825,CURRENT,2026-06-07,ACTIVE
A0000348,C000020,CURRENT,2024-09-29,ACTIVE
A0000349,C000742,DEPOSIT,2022-03-13,ACTIVE
A0000350,C000687,CURRENT,2020-05-19,ACTIVE
A0000351,C000948,DEPOSIT,2026-06-22,ACTIVE
A0000352,C000924,SAVINGS,2026-05-08,ACTIVE
A0000353,C000253,DEPOSIT,2021-04-16,ACTIVE
A0000354,C000747,DEPOSIT,2023-07-18,ACTIVE
A0000355,C000893,DEPOSIT,2021-12-01,CLOSED
A0000356,C000492,DEPOSIT,2023-02-09,CLOSED
A0000357,C000799,DEPOSIT,2025-02-02,ACTIVE
A0000358,C000092,DEPOSIT,2026-02-07,ACTIVE
A0000359,C000455,DEPOSIT,2021-08-19,ACTIVE
A0000360,C000674,CURRENT,2023-08-19,ACTIVE
A0000361,C000054,CURRENT,2025-03-21,ACTIVE
A0000362,C000210,DEPOSIT,2022-07-20,ACTIVE
A0000363,C000457,CURRENT,2025-05-27,CLOSED
A0000364,C000236,SAVINGS,2023-10-07,ACTIVE
A0000365,C000517,CURRENT,2020-10-09,ACTIVE
A0000366,C000794,DEPOSIT,2023-01-19,ACTIVE
A0000367,C000876,DEPOSIT,2020-07-19,ACTIVE
A0000368,C000041,SAVINGS,2025-12-11,ACTIVE
A0000369,C000709,CURRENT,2025-03-20,ACTIVE
A0000370,C000005,DEPOSIT,2021-11-23,ACTIVE
A0000371,C000753,CURRENT,2026-04-20,ACTIVE
A0000372,C000353,SAVINGS,2025-03-31,ACTIVE
A0000373,C000382,CURRENT,2020-01-20,ACTIVE
A0000374,C000946,CURRENT,2022-01-22,ACTIVE
A0000375,C000115,SAVINGS,2020-11-27,ACTIVE
A0000376,C000558,DEPOSIT,2022-08-14,ACTIVE
A0000377,C000596,CURRENT,2023-07-06,ACTIVE
A0000378,C000619,SAVINGS,2022-03-21,ACTIVE
A0000379,C000141,DEPOSIT,2023-01-12,CLOSED
A0000380,C000074,SAVINGS,2021-02-28,ACTIVE
A0000381,C000502,DEPOSIT,2022-09-22,ACTIVE
A0000382,C000762,SAVINGS,2024-05-20,ACTIVE
A0000383,C000688,CURRENT,2020-05-16,ACTIVE
A0000384,C000196,SAVINGS,2020-02-14,ACTIVE
A0000385,C000612,DEPOSIT,2023-10-28,ACTIVE
A0000386,C000360,DEPOSIT,2020-08-09,ACTIVE
A0000387,C000837,DEPOSIT,2023-08-01,ACTIVE
A0000388,C000905,CURRENT,2023-05-23,ACTIVE
A0000389,C000555,CURRENT,2022-02-09,ACTIVE
A0000390,C000968,SAVINGS,2023-10-15,ACTIVE
A0000391,C000222,SAVINGS,2020-03-23,CLOSED
A0000392,C000933,CURRENT,2020-06-19,ACTIVE
A0000393,C000729,DEPOSIT,2020-10-14,ACTIVE
A0000394,C000389,CURRENT,2022-04-26,ACTIVE
A0000395,C000236,CURRENT,2021-03-09,ACTIVE
A0000396,C000151,SAVINGS,2020-11-18,ACTIVE
A0000397,C000394,CURRENT,2025-10-23,ACTIVE
A0000398,C000190,CURRENT,2024-04-20,ACTIVE
A0000399,C000873,SAVINGS,2025-07-21,ACTIVE
A0000400,C000317,CURRENT,2020-05-01,ACTIVE
A0000401,C000849,SAVINGS,2021-11-02,ACTIVE
A0000402,C000345,CURRENT,2025-02-28,ACTIVE
A0000403,C000466,DEPOSIT,2024-04-09,CLOSED
A0000404,C000013,SAVINGS,2024-07-29,ACTIVE
A0000405,C000965,SAVINGS,2024-08-26,CLOSED
A0000406,C000840,CURRENT,2020-08-28,ACTIVE
A0000407,C000030,SAVINGS,2020-06-28,ACTIVE
A0000408,C000762,SAVINGS,2021-02-07,ACTIVE
A0000409,C000144,SAVINGS,2023-12-08,ACTIVE
A0000410,C000520,DEPOSIT,2022-09-20,ACTIVE
A0000411,C000385,CURRENT,2021-05-29,ACTIVE
A0000412,C000292,SAVINGS,2026-01-08,ACTIVE
A0000413,C000907,SAVINGS,2023-10-07,ACTIVE
A0000414,C000156,DEPOSIT,2023-01-06,ACTIVE
A0000415,C000232,SAVINGS,2023-04-22,ACTIVE
A0000416,C000937,DEPOSIT,2024-05-16,ACTIVE
A0000417,C000289,SAVINGS,2020-10-27,ACTIVE
A0000418,C000743,SAVINGS,2022-02-04,ACTIVE
A0000419,C000801,CURRENT,2020-09-22,ACTIVE
A0000420,C000161,CURRENT,2020-06-21,CLOSED
A0000421,C000850,CURRENT,2024-09-25,ACTIVE
A0000422,C000049,SAVINGS,2025-04-26,ACTIVE
A0000423,C000195,CURRENT,2025-01-01,ACTIVE
A0000424,C000631,SAVINGS,2026-01-23,ACTIVE
A0000425,C000238,CURRENT,2024-01-26,ACTIVE
A0000426,C000320,DEPOSIT,2021-06-11,ACTIVE
A0000427,C000748,SAVINGS,2021-08-06,ACTIVE
A0000428,C000753,DEPOSIT,2025-07-17,CLOSED
A0000429,C000884,SAVINGS,2025-05-23,ACTIVE
A0000430,C000286,SAVINGS,2021-06-19,CLOSED
A0000431,C000970,SAVINGS,2023-03-29,ACTIVE
A0000432,C000221,SAVINGS,2023-11-05,ACTIVE
A0000433,C000336,DEPOSIT,2022-04-12,ACTIVE
A0000434,C000984,CURRENT,2022-02-27,CLOSED
A0000435,C000287,DEPOSIT,2020-12-29,ACTIVE
A0000436,C000707,DEPOSIT,2021-04-02,ACTIVE
A0000437,C000393,CURRENT,2025-03-15,ACTIVE
A0000438,C000457,SAVINGS,2021-07-18,ACTIVE
A0000439,C000666,DEPOSIT,2024-04-28,ACTIVE
A0000440,C000418,SAVINGS,2024-01-28,ACTIVE
A0000441,C000234,DEPOSIT,2022-03-15,ACTIVE
A0000442,C000661,CURRENT,2024-01-01,ACTIVE
A0000443,C000809,DEPOSIT,2021-09-07,ACTIVE
A0000444,C000797,DEPOSIT,2026-03-08,ACTIVE
A0000445,C000659,DEPOSIT,2026-03-06,ACTIVE
A0000446,C000090,CURRENT,2023-03-16,ACTIVE
A0000447,C000840,CURRENT,2023-11-30,ACTIVE
A0000448,C000671,DEPOSIT,2024-02-13,ACTIVE
A0000449,C000005,CURRENT,2025-02-27,ACTIVE
A0000450,C000479,SAVINGS,2022-10-02,ACTIVE
A0000451,C000766,SAVINGS,2026-05-28,ACTIVE
A0000452,C000327,DEPOSIT,2021-06-29,ACTIVE
A0000453,C000674,SAVINGS,2024-01-22,ACTIVE
A0000454,C000433,SAVINGS,2025-10-23,ACTIVE
A0000455,C000348,DEPOSIT,2021-06-17,ACTIVE
A0000456,C000342,DEPOSIT,2022-05-15,ACTIVE
A0000457,C000430,DEPOSIT,2022-01-01,ACTIVE
A0000458,C000078,DEPOSIT,2021-09-30,ACTIVE
A0000459,C000188,SAVINGS,2023-11-19,ACTIVE
A0000460,C000361,CURRENT,2023-06-03,ACTIVE
A0000461,C000701,SAVINGS,2022-02-22,ACTIVE
A0000462,C000027,DEPOSIT,2021-03-05,CLOSED
A0000463,C000986,CURRENT,2021-02-26,ACTIVE
A0000464,C000218,DEPOSIT,2020-11-24,ACTIVE
A0000465,C000770,CURRENT,2023-12-07,ACTIVE
A0000466,C000989,CURRENT,2026-04-21,ACTIVE
A0000467,C000836,SAVINGS,2020-06-10,ACTIVE
