transaction_id,account_id,transaction_date,transaction_type,amount
T00000109,A0001208,2026-07-04,WITHDRAWAL,3048000.0
T00000110,A0001571,2026-02-16,WITHDRAWAL,3202000.0
T00000111,A0000126,2025-01-30,WITHDRAWAL,3815000.0
T00000112,A0001428,2026-08-16,TRANSFER,486000.0
T00000113,A0000989,2026-08-04,TRANSFER,321000.0
T00000114,A0001244,2026-05-02,TRANSFER,3631000.0
T00000115,A0000353,2025-02-13,WITHDRAWAL,1809000.0
T00000116,A0001599,2025-07-09,TRANSFER,567000.0
T00000117,A0000862,2026-06-13,WITHDRAWAL,2377000.0
T00000118,A0000443,2025-10-05,DEPOSIT,1367000.0
T00000119,A0000910,2025-05-09,WITHDRAWAL,3929000.0
T00000120,A0000585,2025-03-08,WITHDRAWAL,1590000.0
T00000121,A0000285,2025-07-10,DEPOSIT,1269000.0
T00000122,A0001176,2026-07-30,TRANSFER,4206000.0
T00000123,A0001367,2025-01-01,TRANSFER,343000.0
T00000124,A0001665,2025-01-26,WITHDRAWAL,4931000.0
T00000125,A0001284,2026-02-25,DEPOSIT,3590000.0
T00000126,A0000223,2026-03-10,WITHDRAWAL,3542000.0
T00000127,A0000895,2025-09-29,TRANSFER,2254000.0
T00000128,A0000116,2025-11-29,DEPOSIT,2635000.0
T00000129,A0001311,2025-03-25,WITHDRAWAL,339000.0
T00000130,A0000381,2025-03-25,TRANSFER,1882000.0
T00000131,A0001310,2025-08-08,WITHDRAWAL,2764000.0
T00000132,A0001515,2025-08-10,DEPOSIT,4906000.0
T00000133,A0001615,2025-02-14,DEPOSIT,2024000.0
T00000134,A0001672,2025-01-03,TRANSFER,2691000.0
T00000135,A0001578,2025-08-19,TRANSFER,4773000.0
T00000136,A0000219,2025-11-13,TRANSFER,314000.0
T00000137,A0000095,2025-02-07,TRANSFER,935000.0
T00000138,A0001624,2025-01-25,DEPOSIT,4035000.0
T00000139,A0000549,2025-09-13,WITHDRAWAL,4758000.0
T00000140,A0000930,2025-03-13,DEPOSIT,4262000.0
T00000141,A0001380,2026-01-14,TRANSFER,2572000.0
T00000142,A0001153,2025-12-04,WITHDRAWAL,504000.0
T00000143,A0001758,2026-01-14,TRANSFER,855000.0
T00000144,A0000931,2025-11-02,TRANSFER,774000.0
T00000145,A0001454,2026-05-15,WITHDRAWAL,471000.0
T00000146,A0000668,2026-07-31,WITHDRAWAL,2649000.0
T00000147,A0001393,2025-06-01,WITHDRAWAL,4162000.0
T00000148,A0001183,2025-07-15,WITHDRAWAL,2819000.0
T00000149,A0000698,2025-12-20,DEPOSIT,1138000.0
T00000150,A0000274,2025-03-15,WITHDRAWAL,2688000.0
T00000151,A0001500,2026-07-13,TRANSFER,4154000.0
T00000152,A0001028,2026-01-07,WITHDRAWAL,4219000.0
T00000153,A0001139,2025-06-24,DEPOSIT,509000.0
T00000154,A0001392,2025-03-06,TRANSFER,3730000.0
T00000155,A0001279,2026-04-03,TRANSFER,3725000.0
T00000156,A0000344,2025-03-01,DEPOSIT,790000.0
T00000157,A0000590,2026-03-27,TRANSFER,964000.0
T00000158,A0001035,2026-04-29,TRANSFER,706000.0
T00000159,A0000585,2026-01-02,DEPOSIT,1735000.0
T00000160,A0001762,2025-03-01,WITHDRAWAL,1328000.0
T00000161,A0000743,2025-10-12,TRANSFER,2264000.0
T00000162,A0000032,2025-05-17,WITHDRAWAL,91000.0
T00000163,A0000568,2026-03-22,WITHDRAWAL,475000.0
T00000164,A0000695,2026-05-13,TRANSFER,4038000.0
T00000165,A0001105,2025-02-19,DEPOSIT,2456000.0
T00000166,A0000969,2025-11-03,DEPOSIT,2773000.0
T00000167,A0000497,2025-11-03,TRANSFER,1631000.0
T00000168,A0001796,2026-05-05,WITHDRAWAL,954000.0
T00000169,A0000039,2025-11-12,TRANSFER,3551000.0
T00000170,A0000481,2025-04-03,DEPOSIT,4134000.0
T00000171,A0001166,2025-08-25,DEPOSIT,95000.0
T00000172,A0000818,2025-04-29,DEPOSIT,3753000.0
T00000173,A0000870,2026-04-12,DEPOSIT,4301000.0
T00000174,A0001188,2026-01-18,WITHDRAWAL,1465000.0
T00000175,A0000736,2025-02-25,TRANSFER,4875000.0
T00000176,A0000458,2025-10-17,WITHDRAWAL,1834000.0
T00000177,A0000892,2025-10-29,TRANSFER,1005000.0
T00000178,A0000798,2025-03-27,WITHDRAWAL,3613000.0
T00000179,A0001787,2026-05-01,TRANSFER,31000.0
T00000180,A0000277,2025-11-02,TRANSFER,2121000.0
T00000181,A0000184,2025-04-17,WITHDRAWAL,2942000.0
T00000182,A0001486,2025-12-19,DEPOSIT,4672000.0
T00000183,A0000742,2026-07-24,TRANSFER,2876000.0
T00000184,A0000572,2025-11-28,DEPOSIT,3374000.0
T00000185,A0000714,2025-11-08,TRANSFER,2718000.0
T00000186,A0001206,2025-10-01,WITHDRAWAL,475000.0
T00000187,A0001504,2026-05-27,WITHDRAWAL,4843000.0
T00000188,A0000568,2025-03-30,DEPOSIT,1160000.0
T00000189,A0001267,2025-11-30,DEPOSIT,2220000.0
T00000190,A0000289,2025-08-05,TRANSFER,4980000.0
T00000191,A0000295,2026-04-07,WITHDRAWAL,4111000.0
T00000192,A0000861,2025-03-18,WITHDRAWAL,2530000.0
T00000193,A0000735,2026-02-17,TRANSFER,1030000.0
T00000194,A0000947,2025-01-15,DEPOSIT,4277000.0
T00000195,A0000140,2026-08-15,DEPOSIT,3371000.0
T00000196,A0000523,2025-05-12,WITHDRAWAL,3995000.0
T00000197,A0000077,2026-01-24,TRANSFER,1531000.0
T00000198,A0000489,2025-10-15,TRANSFER,2318000.0
T00000199,A0001371,2025-07-14,DEPOSIT,1523000.0
T00000200,A0001134,2026-07-29,DEPOSIT,3242000.0
T00000201,A0001179,2025-04-06,TRANSFER,4021000.0
T00000202,A0000109,2025-06-19,DEPOSIT,3068000.0
T00000203,A0000327,2025-01-27,WITHDRAWAL,687000.0
T00000204,A0001127,2026-05-26,DEPOSIT,132000.0
T00000205,A0000390,2025-10-30,TRANSFER,4607000.0
T00000206,A0001171,2026-05-01,WITHDRAWAL,1946000.0
T00000207,A0001370,2026-04-25,DEPOSIT,1986000.0
T00000208,A0000743,2025-02-19,WITHDRAWAL,1079000.0
T00000209,A0000834,2026-04-24,WITHDRAWAL,2771000.0
T00000210,A0000450,2025-09-01,WITHDRAWAL,562000.0
T00000211,A0001733,2026-02-01,TRANSFER,4405000.0
T00000212,A0001787,2026-03-23,TRANSFER,2260000.0
T00000213,A0000644,2026-03-11,DEPOSIT,3673000.0
T00000214,A0001048,2025-01-15,TRANSFER,1468000.0
T00000215,A0001205,2025-11-01,WITHDRAWAL,4449000.0
T00000216,A0000790,2025-11-28,WITHDRAWAL,3281000.0
T00000217,A0000155,2026-07-17,WITHDRAWAL,3970000.0
T00000218,A0000394,2025-03-14,WITHDRAWAL,1877000.0
T00000219,A0000085,2026-08-16,DEPOSIT,1370000.0
T00000220,A0000573,2025-06-09,TRANSFER,300000.0
T00000221,A0000283,2025-05-02,WITHDRAWAL,3425000.0
T00000222,A0000533,2025-05-04,TRANSFER,1411000.0
T00000223,A0000652,2025-11-19,WITHDRAWAL,760000.0
T00000224,A0001789,2025-12-25,TRANSFER,3546000.0
T00000225,A0000846,2025-12-12,TRANSFER,2219000.0
T00000226,A0001609,2026-04-18,DEPOSIT,2480000.0
T00000227,A0000008,2025-06-30,TRANSFER,197000.0
T00000228,A0001451,2026-08-19,DEPOSIT,3711000.0
T00000229,A0000321,2025-11-17,TRANSFER,3722000.0
T00000230,A0000947,2025-04-16,TRANSFER,2445000.0
T00000231,A0001713,2025-01-09,WITHDRAWAL,4681000.0
T00000232,A0000714,2026-06-04,TRANSFER,388000.0
T00000233,A0001372,2025-03-11,DEPOSIT,978000.0
T00000234,A0000329,2026-05-05,DEPOSIT,734000.0
T00000235,A0001693,2025-08-09,TRANSFER,2608000.0
T00000236,A0001678,2025-02-15,TRANSFER,3118000.0
T00000237,A0000803,2026-04-21,WITHDRAWAL,3336000.0
T00000238,A0001663,2025-11-20,WITHDRAWAL,1291000.0
T00000239,A0001015,2026-08-06,WITHDRAWAL,3076000.0
T00000240,A0000701,2026-02-19,WITHDRAWAL,286000.0
T00000241,A0001408,2025-08-27,DEPOSIT,2576000.0
T00000242,A0001524,2025-08-21,DEPOSIT,836000.0
T00000243,A0001566,2025-09-22,WITHDRAWAL,776000.0
T00000244,A0000879,2026-04-14,TRANSFER,1734000.0
T00000245,A0000538,2026-02-11,WITHDRAWAL,3801000.0
T00000246,A0000670,2025-03-13,TRANSFER,1459000.0
T00000247,A0001533,2025-09-12,DEPOSIT,2499000.0
T00000248,A0001737,2026-01-04,DEPOSIT,4246000.0
T00000249,A0001491,2026-02-03,DEPOSIT,3755000.0
T00000250,A0000001,2026-08-06,TRANSFER,2584000.0
T00000251,A0001133,2025-03-18,TRANSFER,1376000.0
T00000252,A0000460,2025-06-03,DEPOSIT,3260000.0
T00000253,A0001184,2025-05-04,TRANSFER,2719000.0
T00000254,A0000597,2026-06-16,DEPOSIT,1481000.0
T00000255,A0000316,2026-07-02,DEPOSIT,1886000.0
T00000256,A0001663,2026-04-24,TRANSFER,167000.0
T00000257,A0000980,2026-02-25,WITHDRAWAL,31000.0
T00000258,A0000855,2026-05-20,TRANSFER,3751000.0
T00000259,A0001772,2026-03-24,TRANSFER,3381000.0
T00000260,A0000383,2026-08-08,DEPOSIT,4473000.0
T00000261,A0000613,2026-05-15,TRANSFER,424000.0
T00000262,A0000505,2025-05-26,TRANSFER,4943000.0
T00000263,A0001383,2025-06-04,TRANSFER,1028000.0
T00000264,A0001235,2026-01-08,DEPOSIT,1533000.0
T00000265,A0001428,2025-07-30,WITHDRAWAL,4196000.0
T00000266,A0001415,2025-03-07,TRANSFER,986000.0
T00000267,A0000384,2025-04-17,DEPOSIT,1270000.0
T00000268,A0001177,2026-07-28,DEPOSIT,4712000.0
T00000269,A0000711,2025-12-28,TRANSFER,4764000.0
T00000270,A0001185,2026-07-15,TRANSFER,3090000.0
T00000271,A0001316,2026-08-04,WITHDRAWAL,869000.0
T00000272,A0000838,2026-04-22,DEPOSIT,1531000.0
T00000273,A0001726,2026-01-27,TRANSFER,2106000.0
T00000274,A0001165,2025-06-09,WITHDRAWAL,2713000.0
T00000275,A0001386,2025-11-09,WITHDRAWAL,4806000.0
T00000276,A0000036,2025-08-19,DEPOSIT,376000.0
T00000277,A0001054,2025-05-10,TRANSFER,3293000.0
T00000278,A0001617,2026-07-25,TRANSFER,2131000.0
T00000279,A0001421,2025-07-28,TRANSFER,3413000.0
T00000280,A0000144,2025-01-15,TRANSFER,4183000.0
T00000281,A0001522,2025-07-12,WITHDRAWAL,1140000.0
T00000282,A0000204,2026-08-30,TRANSFER,4882000.0
T00000283,A0001673,2025-02-09,TRANSFER,1862000.0
T00000284,A0001009,2025-08-11,TRANSFER,3890000.0
T00000285,A0001536,2026-01-31,TRANSFER,3075000.0
T00000286,A0001698,2025-11-13,DEPOSIT,3037000.0
T00000287,A0001129,2026-05-28,TRANSFER,4594000.0
T00000288,A0000962,2026-04-24,DEPOSIT,1110000.0
T00000289,A0000920,2026-08-24,WITHDRAWAL,4022000.0
T00000290,A0000755,2026-06-11,DEPOSIT,274000.0
T00000291,A0001465,2025-02-20,DEPOSIT,4490000.0
T00000292,A0001752,2026-04-16,TRANSFER,1006000.0
T00000293,A0001744,2026-08-20,WITHDRAWAL,4157000.0
T00000294,A0000799,2026-03-28,DEPOSIT,3064000.0
T00000295,A0000411,2025-11-26,DEPOSIT,1364000.0
T00000296,A0000524,2026-07-04,DEPOSIT,4511000.0
T00000297,A0001159,2025-12-15,WITHDRAWAL,2285000.0
T00000298,A0001415,2025-07-26,WITHDRAWAL,3496000.0
T00000299,A0001128,2025-09-24,DEPOSIT,2042000.0
T00000300,A0000148,2025-02-14,TRANSFER,3612000.0
T00000301,A0001295,2025-07-29,WITHDRAWAL,4565000.0
T00000302,A0000893,2026-03-06,WITHDRAWAL,848000.0
T00000303,A0001199,2025-03-09,TRANSFER,3090000.0
T00000304,A0000630,2025-11-12,WITHDRAWAL,500000.0
T00000305,A0001045,2026-05-01,TRANSFER,4979000.0
T00000306,A0000274,2026-07-11,TRANSFER,4344000.0
T00000307,A0001745,2025-06-19,DEPOSIT,471000.0
T00000308,A0001724,2025-10-15,TRANSFER,3912000.0
T00000309,A0000964,2025-06-22,TRANSFER,2908000.0
T00000310,A0001466,2026-01-26,TRANSFER,2732000.0
T00000311,A0001085,2026-01-17,WITHDRAWAL,4788000.0
T00000312,A0000352,2026-07-25,DEPOSIT,1965000.0
T00000313,A0000203,2025-06-21,WITHDRAWAL,109000.0
T00000314,A0001644,2025-12-12,TRANSFER,1356000.0
T00000315,A0001161,2026-06-26,TRANSFER,2120000.0
T00000316,A0000939,2026-02-08,WITHDRAWAL,195000.0
T00000317,A0000788,2025-05-18,DEPOSIT,1031000.0
T00000318,A0000410,2025-06-07,TRANSFER,3486000.0
T00000319,A0001669,2026-06-17,DEPOSIT,22000.0
T00000320,A0000478,2025-05-25,DEPOSIT,716000.0
T00000321,A0000163,2025-09-21,WITHDRAWAL,3912000.0
T00000322,A0000714,2025-04-20,WITHDRAWAL,1722000.0
T00000323,A0000844,2025-01-06,DEPOSIT,865000.0
T00000324,A0001309,2025-04-12,TRANSFER,3186000.0
T00000325,A0000790,2025-06-22,DEPOSIT,3536000.0
T00000326,A0001764,2026-07-10,TRANSFER,850000.0
T00000327,A0000486,2026-06-19,DEPOSIT,453000.0
T00000328,A0001161,2025-11-07,DEPOSIT,1396000.0
T00000329,A0000075,2025-01-24,DEPOSIT,1009000.0
T00000330,A0001219,2026-03-04,DEPOSIT,451000.0
T00000331,A0000374,2025-09-28,WITHDRAWAL,152000.0
T00000332,A0001710,2026-05-27,WITHDRAWAL,4901000.0
T00000333,A0001609,2025-09-20,DEPOSIT,1490000.0
T00000334,A0001155,2025-11-28,TRANSFER,2043000.0
T00000335,A0001703,2025-11-29,DEPOSIT,1684000.0
T00000336,A0001406,2025-12-15,WITHDRAWAL,3637000.0
T00000337,A0001365,2025-09-28,DEPOSIT,4768000.0
T00000338,A0001091,2026-08-31,DEPOSIT,3893000.0
T00000339,A0000140,2025-11-23,TRANSFER,3840000.0
T00000340,A0001394,2025-12-28,DEPOSIT,2902000.0
T00000341,A0000822,2025-03-18,WITHDRAWAL,2460000.0
T00000342,A0000059,2026-05-20,TRANSFER,2978000.0
T00000343,A0000870,2026-08-30,TRANSFER,1153000.0
T00000344,A0001134,2025-07-25,TRANSFER,855000.0
T00000345,A0001243,2025-01-16,DEPOSIT,4857000.0
T00000346,A0001147,2026-07-24,WITHDRAWAL,2156000.0
T00000347,A0000282,2025-10-06,WITHDRAWAL,2799000.0
T00000348,A0001234,2025-06-29,DEPOSIT,2472000.0
T00000349,A0001635,2026-05-31,TRANSFER,3494000.0
T00000350,A0000315,2025-10-04,WITHDRAWAL,699000.0
T00000351,A0000516,2025-06-27,WITHDRAWAL,276000.0
T00000352,A0000809,2025-04-06,WITHDRAWAL,3773000.0
T00000353,A0001689,2025-01-31,TRANSFER,4032000.0
T00000354,A0001107,2025-04-27,TRANSFER,212000.0
T00000355,A0001544,2025-08-26,TRANSFER,1899000.0
T00000356,A0001027,2025-05-11,DEPOSIT,1235000.0
T00000357,A0001643,2026-07-22,TRANSFER,298000.0
T00000358,A0000506,2025-12-22,DEPOSIT,4718000.0
T00000359,A0001190,2025-01-10,TRANSFER,3816000.0
T00000360,A0000902,2026-01-23,TRANSFER,4561000.0
T00000361,A0000884,2026-06-23,DEPOSIT,392000.0
T00000362,A0000119,2025-01-17,WITHDRAWAL,1164000.0
T00000363,A0000865,2025-02-27,DEPOSIT,3086000.0
T00000364,A0000049,2025-01-30,TRANSFER,3967000.0
T00000365,A0001088,2026-08-09,WITHDRAWAL,1426000.0
T00000366,A0001625,2025-01-13,TRANSFER,2242000.0
T00000367,A0001445,2026-08-26,TRANSFER,2536000.0
T00000368,A0001070,2025-07-31,TRANSFER,1862000.0
T00000369,A0000121,2025-09-27,WITHDRAWAL,3805000.0
T00000370,A0001683,2025-08-05,TRANSFER,1363000.0
T00000371,A0001062,2025-12-06,TRANSFER,2201000.0
T00000372,A0000829,2026-04-30,DEPOSIT,4663000.0
T00000373,A0000108,2026-06-16,WITHDRAWAL,2422000.0
T00000374,A0000707,2026-01-08,TRANSFER,3117000.0
T00000375,A0000500,2025-08-21,TRANSFER,552000.0
T00000376,A0000423,2025-06-21,DEPOSIT,4098000.0
T00000377,A0001748,2026-05-25,WITHDRAWAL,3000000.0
T00000378,A0000574,2026-03-27,DEPOSIT,34000.0
T00000379,A0001328,2026-07-13,TRANSFER,4001000.0
T00000380,A0000773,2026-01-19,WITHDRAWAL,583000.0
T00000381,A0000902,2025-07-06,TRANSFER,3391000.0
T00000382,A0000171,2026-07-02,WITHDRAWAL,56000.0
T00000383,A0001265,2025-04-02,TRANSFER,181000.0
T00000384,A0000134,2026-08-15,DEPOSIT,1460000.0
T00000385,A0000982,2026-05-07,TRANSFER,2309000.0
T00000386,A0000308,2025-12-18,TRANSFER,51000.0
T00000387,A0000224,2025-02-12,TRANSFER,2654000.0
T00000388,A0001698,2026-08-22,WITHDRAWAL,4989000.0
T00000389,A0000903,2025-02-12,DEPOSIT,816000.0
T00000390,A0000253,2026-01-28,DEPOSIT,1830000.0
T00000391,A0000937,2025-09-27,WITHDRAWAL,3182000.0
T00000392,A0001281,2025-11-06,DEPOSIT,1148000.0
T00000393,A0000687,2026-07-23,WITHDRAWAL,2921000.0
T00000394,A0000422,2026-05-17,WITHDRAWAL,2252000.0
T00000395,A0000824,2026-04-30,DEPOSIT,2766000.0
T00000396,A0001450,2026-02-15,WITHDRAWAL,4564000.0
T00000397,A0000430,2026-06-30,TRANSFER,402000.0
T00000398,A0001039,2026-06-25,WITHDRAWAL,4063000.0
T00000399,A0000327,2025-02-02,TRANSFER,2866000.0
T00000400,A0000987,2025-10-18,TRANSFER,4777000.0
T00000401,A0000515,2026-06-22,WITHDRAWAL,136000.0
T00000402,A0001603,2025-06-09,WITHDRAWAL,2301000.0
T00000403,A0000919,2026-08-03,TRANSFER,4403000.0
T00000404,A0000920,2026-02-10,DEPOSIT,3550000.0
T00000405,A0000323,2026-08-07,WITHDRAWAL,876000.0
T00000406,A0000816,2026-06-04,DEPOSIT,1674000.0
T00000407,A0000108,2025-05-03,TRANSFER,102000.0
T00000408,A0000077,2026-05-02,DEPOSIT,261000.0
T00000409,A0000645,2026-01-01,WITHDRAWAL,59000.0
T00000410,A0001607,2025-09-18,TRANSFER,4877000.0
T00000411,A0001168,2026-02-12,TRANSFER,480000.0
T00000412,A0000820,2026-07-03,TRANSFER,4142000.0
T00000413,A0001041,2026-04-06,WITHDRAWAL,3530000.0
T00000414,A0000778,2026-06-18,DEPOSIT,598000.0
T00000415,A0000727,2025-07-21,TRANSFER,2216000.0
T00000416,A0001699,2025-02-08,WITHDRAWAL,4486000.0
T00000417,A0001080,2025-12-05,TRANSFER,1298000.0
T00000418,A0000810,2025-02-27,TRANSFER,2817000.0
T00000419,A0001113,2025-09-11,WITHDRAWAL,626000.0
T00000420,A0000433,2026-01-10,TRANSFER,3423000.0
T00000421,A0000228,2025-05-26,DEPOSIT,2388000.0
T00000422,A0000369,2026-03-31,DEPOSIT,2355000.0
T00000423,A0000021,2025-03-21,TRANSFER,2233000.0
T00000424,A0001077,2025-06-07,WITHDRAWAL,1166000.0
T00000425,A0000115,2025-09-22,WITHDRAWAL,494000.0
T00000426,A0000309,2026-06-23,TRANSFER,1172000.0
T00000427,A0001222,2026-04-08,DEPOSIT,2950000.0
T00000428,A0001418,2025-12-30,WITHDRAWAL,848000.0
T00000429,A0000156,2026-08-06,TRANSFER,2662000.0
T00000430,A0000437,2025-01-17,DEPOSIT,3983000.0
T00000431,A0000759,2026-04-15,TRANSFER,2062000.0
T00000432,A0000298,2026-07-03,TRANSFER,630000.0
T00000433,A0000242,2025-02-16,DEPOSIT,2466000.0
T00000434,A0001439,2026-01-03,WITHDRAWAL,3941000.0
T00000435,A0001029,2026-02-15,TRANSFER,1665000.0
T00000436,A0001557,2026-07-01,TRANSFER,2163000.0
T00000437,A0001268,2025-04-15,WITHDRAWAL,4356000.0
T00000438,A0001542,2026-06-10,DEPOSIT,3662000.0
T00000439,A0000624,2025-07-25,DEPOSIT,3224000.0
T00000440,A0000532,2025-06-22,DEPOSIT,365000.0
T00000441,A0000252,2025-08-23,WITHDRAWAL,825000.0
T00000442,A0001710,2025-10-26,WITHDRAWAL,1717000.0
T00000443,A0000671,2025-04-23,DEPOSIT,4849000.0
T00000444,A0000304,2025-03-10,DEPOSIT,3239000.0
T00000445,A0000354,2025-12-19,TRANSFER,1834000.0
T00000446,A0001689,2026-03-10,TRANSFER,1974000.0
T00000447,A0001402,2025-12-30,DEPOSIT,2143000.0
T00000448,A0000959,2026-08-27,DEPOSIT,3501000.0
T00000449,A0000724,2025-11-23,WITHDRAWAL,2719000.0
T00000450,A0000631,2026-06-02,TRANSFER,3058000.0
T00000451,A0000526,2025-02-11,WITHDRAWAL,3242000.0
